"tfl_id","name","lat","lon"
117,"Lambeth North",51.4990578000,-0.1117603000
118,"Lancaster Gate",51.5118217000,-0.1754287000
119,"Latimer Road",51.5135422000,-0.2177793000
120,"Leicester Square",51.5112228000,-0.1282355000
121,"Leyton",51.5564346000,-0.0056199000
122,"Leytonstone",51.5681839000,0.0082150000
123,"Liverpool Street",51.5173531000,-0.0829657000
124,"London Bridge",51.5055008000,-0.0869224000
125,"Loughton",51.6415138000,0.0553120000
126,"Maida Vale",51.5297585000,-0.1856259000
127,"Manor House",51.5707550000,-0.0957125000
128,"Mansion House",51.5120201000,-0.0941871000
129,"Marble Arch",51.5136108000,-0.1583333000
130,"Marylebone",51.5222244000,-0.1631045000
131,"Mile End",51.5250931000,-0.0334042000
132,"Mill Hill East",51.6082573000,-0.2098944000
133,"Monument",51.5108604000,-0.0862490000
134,"Moorgate",51.5183678000,-0.0890063000
135,"Moor Park",51.6297302000,-0.4326668000
136,"Morden",51.4023361000,-0.1947907000
137,"Mornington Crescent",51.5342064000,-0.1388425000
138,"Neasden",51.5539665000,-0.2497829000
139,"Newbury Park",51.5755730000,0.0903373000
140,"New Cross",51.4766731000,-0.0325946000
141,"North Acton",51.5235558000,-0.2599463000
142,"North Ealing",51.5175552000,-0.2890050000
143,"Northfields",51.4993706000,-0.3142369000
144,"North Harrow",51.5847931000,-0.3622236000
145,"Northolt",51.5483017000,-0.3690022000
146,"Northwick Park",51.5785942000,-0.3182064000
147,"Northwood",51.6111603000,-0.4238608000
148,"Northwood Hills",51.6004944000,-0.4092986000
149,"Notting Hill Gate",51.5090485000,-0.1968151000
150,"Oakwood",51.6475830000,-0.1318417000
151,"Old Street",51.5256004000,-0.0875497000
152,"Osterley",51.4812431000,-0.3521231000
153,"Oval",51.4821053000,-0.1128934000
154,"Oxford Circus",51.5151253000,-0.1417690000
155,"Paddington",51.5157242000,-0.1758456000
156,"Park Royal",51.5269012000,-0.2842280000
157,"Parsons Green",51.4750938000,-0.2012347000
158,"Perivale",51.5366478000,-0.3232598000
159,"Piccadilly Circus",51.5100288000,-0.1340064000
160,"Pinner",51.5928574000,-0.3809198000
161,"Plaistow",51.5312195000,0.0178047000
162,"Preston Road",51.5720367000,-0.2952563000
163,"Putney Bridge",51.4679031000,-0.2089767000
164,"Queensbury",51.5943489000,-0.2857857000
165,"Queens Park",51.5339470000,-0.2049369000
166,"Queensway",51.5104446000,-0.1872222000
167,"Ravenscourt Park",51.4940681000,-0.2359432000
168,"Rayners Lane",51.5749779000,-0.3710056000
169,"Redbridge",51.5763016000,0.0454231000
170,"Regents Park",51.5235062000,-0.1468626000
171,"Richmond",51.4632454000,-0.3014508000
172,"Rickmansworth",51.6402740000,-0.4737121000
173,"Roding Valley",51.6171150000,0.0438644000
174,"Rotherhithe",51.5007744000,-0.0519479000
175,"Royal Oak",51.5190163000,-0.1882300000
176,"Ruislip",51.5714493000,-0.4214551000
177,"Ruislip Gardens",51.5606346000,-0.4104558000
178,"Ruislip Manor",51.5731888000,-0.4123458000
179,"Russell Square",51.5229111000,-0.1243101000
180,"St James's Park",51.4993439000,-0.1341837000
181,"St Johns Wood",51.5345650000,-0.1741724000
182,"St Pauls",51.5148010000,-0.0975737000
183,"Seven Sisters",51.5833549000,-0.0724919000
184,"Shadwell",51.5117340000,-0.0560260000
185,"Shepherds Bush ",51.5052414000,-0.2176988000
186,"Shoreditch",51.5227776000,-0.0708333000
187,"Sloane Square",51.4922867000,-0.1564862000
188,"Snaresbrook",51.5808258000,0.0214905000
189,"South Ealing",51.5010796000,-0.3071478000
190,"Southfields",51.4449310000,-0.2065375000
191,"Southgate",51.6323204000,-0.1277584000
192,"South Harrow",51.5646782000,-0.3522116000
193,"South Kensington",51.4939995000,-0.1739223000
194,"South Ruislip",51.5569115000,-0.3991851000
195,"South Wimbledon",51.4152794000,-0.1919791000
196,"South Woodford",51.5917244000,0.0273171000
197,"Stamford Brook",51.4948959000,-0.2457708000
198,"Stanmore",51.6196175000,-0.3031082000
199,"Stepney Green",51.5219116000,-0.0464587000
200,"Stockwell",51.4721680000,-0.1229093000
201,"Stratford",51.5415955000,-0.0036170000
202,"Sudbury Hill",51.5569954000,-0.3362156000
203,"Sudbury Town",51.5507812000,-0.3154827000
204,"Surrey Quays",51.4934731000,-0.0479871000
205,"Swiss Cottage",51.5433159000,-0.1747593000
206,"Temple",51.5109711000,-0.1137031000
207,"Theydon Bois",51.6717110000,0.1031254000
208,"Tooting Bec",51.4357605000,-0.1597005000
